full_name,room_number,urls,research_info
Michael Weyrich,2.116,https://www.ias.uni-stuttgart.de/institut/team/Weyrich/,
Michael Weyrich,2.116,https://www.ias.uni-stuttgart.de/en/institute/team/Weyrich/,
Nasser Jazdi,2.126,https://www.ias.uni-stuttgart.de/institut/team/Jazdi/,
Florian  Pfaff,2.366,https://www.ias.uni-stuttgart.de/institut/team/Pfaff-00006/,
Andrey Morozov,2.139,https://www.ias.uni-stuttgart.de/institut/team/Morozov/,
Miriam Gruber,2.115,https://www.ias.uni-stuttgart.de/institut/team/Gruber-00002/,
Ulrike  Bek,2.135,https://www.ias.uni-stuttgart.de/institut/team/Bek/,
Britta Lenz,2.134,https://www.ias.uni-stuttgart.de/institut/team/Lenz-00012/,
Andisheh Rafiei,2.124,https://www.ias.uni-stuttgart.de/institut/team/Rafiei-00001/,
Andrea  Rozsa,2.114,https://www.ias.uni-stuttgart.de/institut/team/Rozsa/,
Daniel Dittler,1.112,https://www.ias.uni-stuttgart.de/institut/team/Dittler/,
Maurice Artelt,1.135,https://www.ias.uni-stuttgart.de/institut/team/Artelt/,
Sebastian Baum,1.134,https://www.ias.uni-stuttgart.de/institut/team/Baum-00001/,
Peter  Frank,1.113,https://www.ias.uni-stuttgart.de/institut/team/Frank-00022/,
Robin  Stevens,2.137,https://www.ias.uni-stuttgart.de/institut/team/Stevens/,
Yuchen Xia,1.138,https://www.ias.uni-stuttgart.de/institut/team/Xia-00002/,
Johannes Stümpfle,1.139,https://www.ias.uni-stuttgart.de/institut/team/Stuempfle/,
Falk Dettinger,1.116,https://www.ias.uni-stuttgart.de/institut/team/Dettinger/,
Baran Can Gül,2.136,https://www.ias.uni-stuttgart.de/institut/team/Guel/,
Lennard  Hettich,1.134,https://www.ias.uni-stuttgart.de/institut/team/Hettich-00001/,
Akshay Narla,1.137,https://www.ias.uni-stuttgart.de/institut/team/Narla/,
Bijay  Paudel,1.138,https://www.ias.uni-stuttgart.de/institut/team/Paudel/,
Johannes  Sigel,1.136,https://www.ias.uni-stuttgart.de/institut/team/Sigel/,
Matthias Weiß,1.115,https://www.ias.uni-stuttgart.de/institut/team/Weiss-00019/,
Eugen  Ernst,2.372,https://www.ias.uni-stuttgart.de/institut/team/Ernst-00003/,
Rezha Adrian  Tanuharja,2.372,https://www.ias.uni-stuttgart.de/institut/team/Tanuharja/,
Sheng Ding,3.252,https://www.ias.uni-stuttgart.de/institut/team/Ding/,
Philipp Grimmeisen,1.111,https://www.ias.uni-stuttgart.de/institut/team/Grimmeisen-00001/,
Joachim Grimstad,3.251,https://www.ias.uni-stuttgart.de/institut/team/Grimstad/,
Georgios  Katranis,3.252,https://www.ias.uni-stuttgart.de/institut/team/Katranis/,
Yuliang Ma,3.252,https://www.ias.uni-stuttgart.de/institut/team/Ma-00005/,
Thorben Schey,1.302,https://www.ias.uni-stuttgart.de/institut/team/Schey/,
Frederik  Plahl,3.252,https://www.ias.uni-stuttgart.de/institut/team/Plahl/,
Atefe Ahmadi,2.138,https://www.ias.uni-stuttgart.de/institut/team/Ahmadi/,
Jonas  Takacs,2.138,https://www.ias.uni-stuttgart.de/institut/team/Takacs/,
Florian  Pfaff,2.366,https://www.ias.uni-stuttgart.de/en/institute/team/Pfaff-00006/,
Andrey Morozov,2.139,https://www.ias.uni-stuttgart.de/en/institute/team/Morozov/,
Nasser Jazdi,2.126,https://www.ias.uni-stuttgart.de/en/institute/team/Jazdi/,"Nasser Jazdi received his Diploma in Electrical Engineering in 1997, his Ph.D. (Topic: Remote Diagnosis and Maintenance of Embedded Systems) in 2003 from the University of Stuttgart, Germany. In 2003 he joined the Institute of Industrial Automation and Software Engineering (IAS), University of Stuttgart as deputy head, researcher and lecturer. He gives two lectures: “Software Engineering” and “Reliability and Security of Automation Systems”."
Miriam Gruber,2.115,https://www.ias.uni-stuttgart.de/en/institute/team/Gruber-00002/,
Ulrike  Bek,2.135,https://www.ias.uni-stuttgart.de/en/institute/team/Bek/,
Britta Lenz,2.134,https://www.ias.uni-stuttgart.de/en/institute/team/Lenz-00012/,
Andisheh Rafiei,2.124,https://www.ias.uni-stuttgart.de/en/institute/team/Rafiei-00001/,
Andrea  Rozsa,2.114,https://www.ias.uni-stuttgart.de/en/institute/team/Rozsa/,
Daniel Dittler,1.112,https://www.ias.uni-stuttgart.de/en/institute/team/Dittler/,
Johannes Stümpfle,1.139,https://www.ias.uni-stuttgart.de/en/institute/team/Stuempfle/,
Maurice Artelt,1.135,https://www.ias.uni-stuttgart.de/en/institute/team/Artelt/,
Sebastian Baum,1.134,https://www.ias.uni-stuttgart.de/en/institute/team/Baum-00001/,
Falk Dettinger,1.116,https://www.ias.uni-stuttgart.de/en/institute/team/Dettinger/,
Sheng Ding,3.252,https://www.ias.uni-stuttgart.de/en/institute/team/Ding/,
Eugen  Ernst,2.372,https://www.ias.uni-stuttgart.de/en/institute/team/Ernst-00003/,
Peter  Frank,1.113,https://www.ias.uni-stuttgart.de/en/institute/team/Frank-00022/,
Philipp Grimmeisen,1.111,https://www.ias.uni-stuttgart.de/en/institute/team/Grimmeisen-00001/,
Joachim Grimstad,3.251,https://www.ias.uni-stuttgart.de/en/institute/team/Grimstad/,
Baran Can Gül,2.136,https://www.ias.uni-stuttgart.de/en/institute/team/Guel/,
Lennard  Hettich,1.134,https://www.ias.uni-stuttgart.de/en/institute/team/Hettich-00001/,
Georgios  Katranis,3.252,https://www.ias.uni-stuttgart.de/en/institute/team/Katranis/,
Yuliang Ma,3.252,https://www.ias.uni-stuttgart.de/en/institute/team/Ma-00005/,
Akshay Narla,1.137,https://www.ias.uni-stuttgart.de/en/institute/team/Narla/,
Bijay  Paudel,1.138,https://www.ias.uni-stuttgart.de/en/institute/team/Paudel/,
Thorben Schey,1.302,https://www.ias.uni-stuttgart.de/en/institute/team/Schey/,
Johannes  Sigel,1.136,https://www.ias.uni-stuttgart.de/en/institute/team/Sigel/,
Robin  Stevens,2.137,https://www.ias.uni-stuttgart.de/en/institute/team/Stevens/,
Rezha Adrian  Tanuharja,2.372,https://www.ias.uni-stuttgart.de/en/institute/team/Tanuharja/,
Matthias Weiß,1.115,https://www.ias.uni-stuttgart.de/en/institute/team/Weiss-00019/,
Yuchen Xia,1.138,https://www.ias.uni-stuttgart.de/en/institute/team/Xia-00002/,
Frederik  Plahl,3.252,https://www.ias.uni-stuttgart.de/en/institute/team/Plahl/,
Atefe Ahmadi,2.138,https://www.ias.uni-stuttgart.de/en/institute/team/Ahmadi/,
Jonas  Takacs,2.138,https://www.ias.uni-stuttgart.de/en/institute/team/Takacs/,
